time [ms], BMP temp [degC], BMP pres [mbar], BMP alt [m], BNO x [deg], BNO y [deg], BNO z [deg], BNO xa [m/s^2], BNO ya [], BNO za [], BNO xg [rad/s], BNO yg [], BNO zg [], BNO xm [uT], BNO ym [], BNO zm [], GPS lat [deg.min], GPS lon [deg.min], GPS speed [m/s], GPS angle [deg], GPS alt [m], GPS sat [#], ICM temp [degC], ICM accel x [m/s^2], ICM accel y [m/s^2], ICM accel z [m/s^2], ICM gyro x [rad/s], ICM gyro y [rad/s], ICM gyro z [rad/s], ICM mag x [], ICM mag y [], ICM mag z []
37536, 18.19, 989.90, 196.28, 74.56, -2.62, 176.81, 0.88, -1.47, -11.76, 0.88, -1.47, -11.76, 0.88, -1.47, -11.76, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.33, -0.84, 0.11, -12.28, -0.19, 0.54, -0.16, -15.45, 6.30, -82.35
37580, 18.19, 989.89, 196.33, 74.12, -3.62, 176.31, 0.81, -1.48, -12.26, 0.81, -1.48, -12.26, 0.81, -1.48, -12.26, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.33, -0.56, 0.15, -11.72, -0.16, 0.93, -0.16, -15.45, 6.30, -82.35
37631, 18.19, 989.89, 196.33, 73.56, -5.87, 175.75, 0.11, -1.33, -12.02, 0.11, -1.33, -12.02, -0.12, -1.47, -12.01, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.24, 0.03, 0.04, -11.92, -0.01, 0.26, -0.26, -17.85, 6.45, -82.50
37681, 18.19, 989.88, 196.40, 72.87, -6.50, 175.69, -0.52, -1.58, -9.06, -0.52, -1.58, -9.06, -1.28, -1.89, -8.71, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.24, 0.90, 0.57, -7.92, 0.25, 0.36, -0.01, -17.85, 6.45, -82.50
37724, 18.19, 989.88, 196.39, 72.62, -7.12, 176.31, -0.12, -1.44, -7.87, -0.12, -1.44, -7.87, -0.12, -1.44, -7.87, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.43, 0.28, -0.10, -8.31, 0.12, -0.40, -0.06, -17.85, 6.00, -81.90
37771, 18.19, 989.88, 196.40, 72.50, -6.37, 176.56, -0.34, -1.37, -9.14, -0.34, -1.37, -9.14, -0.34, -1.37, -9.14, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.48, 0.25, 0.06, -8.47, -0.12, -0.29, -0.08, -17.85, 6.00, -81.90
37815, 18.19, 989.88, 196.38, 72.31, -5.37, 176.37, 0.41, -0.77, -8.52, 0.41, -0.77, -8.52, 0.41, -0.77, -8.52, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.33, -0.54, -0.71, -7.83, 0.03, 0.72, -0.06, -17.85, 6.00, -81.90
37865, 18.19, 989.88, 196.39, 72.25, -7.12, 176.50, 0.30, -1.08, -6.52, 0.30, -1.08, -6.52, 0.30, -1.08, -6.52, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.53, -1.24, -0.74, -7.72, 0.05, -0.25, 0.12, -17.55, 6.60, -82.80
37911, 18.19, 989.88, 196.39, 72.31, -6.25, 176.62, 1.15, -0.84, -9.79, 1.15, -0.84, -9.79, 1.15, -0.84, -9.79, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.48, -0.93, -0.03, -9.53, 0.30, -1.74, -0.24, -17.55, 6.60, -82.80
37962, 18.20, 989.89, 196.32, 71.75, -2.00, 177.12, 1.70, -0.92, -8.05, 1.70, -0.92, -8.05, 1.70, -0.92, -8.05, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.09, -2.26, -0.91, -8.14, -0.07, -0.39, -0.11, -14.85, 6.45, -85.05
38005, 18.20, 989.90, 196.27, 71.37, -0.75, 176.87, 2.86, -0.68, -11.38, 2.86, -0.68, -11.38, 2.86, -0.68, -11.38, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.24, -1.70, -0.34, -12.01, 0.06, -0.68, -0.11, -14.85, 6.45, -85.05
38052, 18.20, 989.90, 196.27, 71.06, 0.94, 176.94, 0.52, -1.05, -11.01, 0.52, -1.05, -11.01, 0.52, -1.05, -11.01, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.24, -2.91, -0.76, -12.22, -0.06, 0.50, 0.07, -11.70, 6.75, -86.40
38104, 18.20, 989.90, 196.27, 71.19, -0.25, 176.87, 3.73, -0.23, -13.59, 0.60, -0.61, -12.04, 0.60, -0.61, -12.04, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.43, -1.35, -2.00, -10.94, 0.02, 1.59, 0.04, -11.70, 6.75, -86.40
38151, 18.20, 989.90, 196.21, 71.19, -4.44, 176.81, 1.65, -0.14, -15.09, 1.65, -0.14, -15.09, 1.65, -0.14, -15.09, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.43, -1.29, -0.43, -12.84, 0.11, 0.05, 0.07, -14.55, 6.00, -85.80
38196, 18.20, 989.91, 196.20, 71.31, -4.87, 177.00, -0.97, -0.34, -11.24, -0.97, -0.34, -11.24, -0.97, -0.34, -11.24, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.29, 1.95, -0.99, -12.40, 0.04, 0.51, 0.21, -14.55, 6.00, -85.80
38243, 18.21, 989.90, 196.27, 71.81, -6.00, 177.12, -2.31, -0.96, -12.18, -2.31, -0.96, -12.18, -2.31, -0.96, -12.18, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.29, 1.62, -1.35, -8.60, -0.06, 2.33, 0.53, -15.75, 4.35, -85.95
38295, 18.21, 989.90, 196.28, 73.00, -10.81, 177.37, -0.27, -1.26, -6.90, -0.27, -1.26, -6.90, -0.27, -1.26, -6.90, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.43, -0.39, -0.49, -7.34, 0.09, 0.10, 0.62, -15.75, 4.35, -85.95
38342, 18.21, 989.89, 196.30, 74.50, -11.19, 178.00, 3.04, -1.24, -5.59, 3.04, -1.24, -5.59, 3.04, -1.24, -5.59, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.29, -0.52, -0.35, -5.52, -0.11, -0.46, 0.25, -19.35, 4.05, -86.25
38385, 18.20, 989.90, 196.29, 75.12, -10.00, 177.94, 0.16, -1.47, -5.56, -0.50, -1.72, -5.39, -0.50, -1.72, -5.39, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.24, 0.57, 0.47, -5.33, -0.17, 0.36, 0.40, -19.35, 4.05, -86.25
38432, 18.20, 989.89, 196.33, 76.31, -10.94, 177.50, -0.15, -1.33, -6.85, -0.15, -1.33, -6.85, -0.15, -1.33, -6.85, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.33, -1.00, 0.47, -8.95, -0.28, 0.02, 0.47, -21.90, 4.80, -85.20
38475, 18.20, 989.89, 196.30, 77.50, -11.13, 177.00, 0.70, -1.81, -9.69, 0.70, -1.81, -9.69, -0.67, -1.77, -10.10, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.33, 1.09, 0.35, -11.06, -0.46, -0.24, 0.33, -21.90, 4.80, -85.20
38525, 18.20, 989.90, 196.28, 78.62, -10.44, 175.94, -0.24, -1.81, -12.81, 0.20, -1.99, -13.12, 0.20, -1.99, -13.12, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.14, 0.67, 1.21, -13.08, 0.02, 0.00, 0.24, -21.15, 5.85, -89.10
38568, 18.20, 989.89, 196.31, 79.44, -10.19, 175.94, -1.62, -2.48, -14.18, -1.62, -2.48, -14.18, -1.62, -2.48, -14.18, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.09, 1.84, 0.11, -13.25, 0.67, 0.97, 0.33, -21.15, 5.85, -89.10
38617, 18.20, 989.89, 196.34, 80.06, -12.31, 177.56, 0.00, -0.43, -12.20, 0.00, -0.43, -12.20, 0.00, -0.43, -12.20, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.33, 1.36, -0.60, -11.49, 0.69, -0.07, -0.13, -21.15, 5.85, -89.10
38661, 18.20, 989.89, 196.35, 79.56, -12.69, 179.44, 1.59, -0.67, -9.88, 1.59, -0.67, -9.88, 1.59, -0.67, -9.88, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.29, -0.14, -1.18, -10.79, -0.03, -0.84, -0.67, -23.70, 1.05, -88.05
38707, 18.20, 989.88, 196.38, 78.31, -10.88, 179.25, -1.73, -0.74, -8.30, -2.16, -0.99, -8.56, -2.16, -0.99, -8.56, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.33, 2.94, 0.19, -9.99, -0.64, -0.23, -0.74, -23.70, 1.05, -88.05
38758, 18.19, 989.88, 196.40, 76.44, -10.00, 177.37, -1.51, -2.88, -10.91, -1.51, -2.88, -10.91, -1.51, -2.88, -10.91, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.24, 1.25, 1.47, -9.80, 0.30, -0.27, -0.88, -20.25, 4.20, -88.95
38806, 18.19, 989.88, 196.42, 74.12, -9.25, 177.31, -0.13, -1.80, -7.56, -0.13, -1.80, -7.56, -0.13, -1.80, -7.56, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.33, 0.52, 1.21, -7.83, 0.54, -1.14, -1.13, -20.25, 4.20, -88.95
38851, 18.19, 989.88, 196.42, 71.00, -5.94, 178.50, -0.29, -2.37, -7.19, -0.29, -2.37, -7.19, -0.29, -2.37, -7.19, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.33, -0.52, 0.40, -7.18, 0.24, -0.48, -0.84, -15.75, 4.35, -91.95
38897, 18.18, 989.88, 196.42, 69.06, -4.56, 178.87, 0.47, -1.49, -6.29, 0.20, -1.39, -6.39, 0.20, -1.39, -6.39, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.24, -0.45, -0.42, -7.92, -0.63, -0.21, -0.41, -15.75, 4.35, -91.95
38941, 18.18, 989.88, 196.39, 67.81, -4.00, 177.37, -0.85, -1.60, -9.18, -0.85, -1.60, -9.18, -0.85, -1.60, -9.18, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.43, 0.00, 0.16, -9.49, -0.35, -0.27, -0.39, -12.90, 6.30, -91.95
38991, 18.17, 989.88, 196.42, 66.87, -3.06, 176.50, -1.54, -2.15, -9.99, -1.54, -2.15, -9.99, -1.54, -2.15, -9.99, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.14, -0.29, 0.95, -11.21, -0.11, 0.02, 0.15, -12.90, 6.30, -91.95
39034, 18.17, 989.87, 196.46, 67.19, -2.81, 176.31, 0.07, -1.67, -10.61, 0.07, -1.67, -10.61, 0.07, -1.67, -10.61, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.29, -0.07, -0.09, -9.88, 0.24, 0.52, 0.62, -12.75, 6.00, -93.90
39080, 18.17, 989.88, 196.44, 68.94, -4.12, 176.81, 0.27, -1.40, -9.97, 0.27, -1.40, -9.97, 0.27, -1.40, -9.97, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.48, -0.43, -0.55, -9.56, -0.16, 0.10, 0.57, -12.75, 6.00, -93.90
39123, 18.16, 989.88, 196.40, 70.19, -4.50, 176.69, 0.95, -0.58, -10.29, 0.95, -0.58, -10.29, 0.95, -0.58, -10.29, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.33, 0.47, -0.16, -11.00, -0.24, -0.17, 0.44, -12.75, 6.00, -93.90
39173, 18.16, 989.89, 196.35, 71.81, -4.50, 176.12, -0.25, -1.87, -11.99, -0.25, -1.87, -11.99, -0.25, -1.87, -11.99, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.43, -0.77, 0.39, -12.09, 0.06, 0.57, 0.79, -13.95, 4.35, -94.35
39219, 18.16, 989.89, 196.35, 73.50, -5.81, 176.31, 0.81, -0.67, -11.15, 0.50, -0.58, -11.06, 0.50, -0.58, -11.06, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.48, -0.77, -0.99, -11.08, -0.03, 0.23, 0.89, -13.95, 4.35, -94.35
39265, 18.16, 989.90, 196.27, 76.06, -6.56, 176.44, -1.53, -1.32, -9.95, -1.53, -1.32, -9.95, -1.53, -1.32, -9.95, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.00, 2.23, -0.75, -9.44, 0.07, 0.24, 0.50, -15.75, 7.05, -94.80
39311, 18.16, 989.91, 196.18, 77.44, -7.12, 176.69, -0.84, -0.23, -9.41, -0.84, -0.23, -9.41, -0.84, -0.23, -9.41, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.24, 0.71, -1.08, -10.27, -0.28, 0.29, 0.41, -15.75, 7.05, -94.80
39358, 18.16, 989.90, 196.29, 78.62, -7.56, 176.19, 1.70, -0.39, -11.45, 1.70, -0.39, -11.45, 1.70, -0.39, -11.45, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.00, -0.96, -0.98, -9.62, -0.48, 0.05, 0.51, -18.15, 6.75, -93.90
39410, 18.16, 989.89, 196.33, 80.06, -8.19, 175.06, -0.02, -0.62, -8.33, 0.33, -0.69, -8.19, 0.33, -0.69, -8.19, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.09, -0.34, -0.52, -8.42, -0.16, 0.44, 0.15, -18.15, 6.75, -93.90
39457, 18.16, 989.88, 196.42, 80.75, -9.56, 174.62, -0.15, -0.20, -7.22, -0.15, -0.20, -7.22, -0.15, -0.20, -7.22, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.29, -0.44, -0.94, -8.12, -0.16, 0.18, 0.23, -20.55, 6.60, -93.75
39502, 18.16, 989.89, 196.35, 81.50, -10.13, 174.31, 0.28, -1.69, -10.05, 0.28, -1.69, -10.05, 0.28, -1.69, -10.05, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.00, -0.39, 0.28, -9.83, 0.03, 0.04, 0.26, -20.55, 6.60, -93.75
39549, 18.16, 989.89, 196.36, 82.44, -10.31, 174.37, -0.25, -1.13, -9.04, -0.25, -1.13, -9.04, -0.25, -1.13, -9.04, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.29, 0.35, -0.53, -10.09, -0.31, 0.02, 0.38, -22.35, 7.80, -94.35
39593, 18.16, 989.89, 196.31, 84.00, -10.50, 173.69, -0.12, -1.49, -11.68, -0.12, -1.49, -11.68, -0.12, -1.49, -11.68, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.14, 0.36, 0.20, -11.67, -0.11, 0.11, 0.23, -22.35, 7.80, -94.35
39643, 18.17, 989.89, 196.33, 84.87, -10.81, 173.50, -0.87, -1.00, -11.44, -0.87, -1.00, -11.44, -0.87, -1.00, -11.44, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.29, 0.94, -0.45, -11.17, 0.26, 0.12, 0.25, -22.80, 6.00, -93.15
39686, 18.17, 989.90, 196.29, 85.87, -11.25, 174.19, -0.84, -1.69, -10.84, -0.84, -1.69, -10.84, -0.84, -1.69, -10.84, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.29, 0.43, 0.30, -10.80, 0.41, -0.05, 0.37, -22.80, 6.00, -93.15
39732, 18.17, 989.89, 196.32, 86.56, -11.19, 175.25, -3.49, -2.03, -9.84, -3.49, -2.03, -9.84, -3.49, -2.03, -9.84, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.24, 4.35, 0.22, -10.41, 0.19, 0.63, 0.32, -23.40, 3.30, -96.15
39775, 18.17, 989.90, 196.28, 87.75, -12.69, 175.94, -2.93, -1.00, -11.95, -2.93, -1.00, -11.95, -2.93, -1.00, -11.95, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.43, 1.81, -0.18, -12.80, 0.12, 0.56, 0.29, -23.40, 3.30, -96.15
39825, 18.17, 989.89, 196.35, 88.87, -13.75, 176.87, 0.12, -1.73, -12.32, 0.12, -1.73, -12.32, 0.12, -1.73, -12.32, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.33, 0.20, -0.33, -11.01, 0.61, -0.19, 0.07, -23.40, 3.30, -96.15
39872, 18.17, 989.88, 196.37, 89.31, -13.38, 178.25, -1.34, -0.86, -9.09, -1.34, -0.86, -9.09, -1.78, -1.08, -8.83, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.14, 1.84, -0.40, -9.53, 0.23, -0.26, -0.09, -27.00, 0.60, -94.35
39918, 18.17, 989.87, 196.53, 89.62, -12.63, 178.81, -2.54, -1.75, -8.75, -2.54, -1.75, -8.75, -2.54, -1.75, -8.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.24, 1.84, 0.28, -8.85, 0.00, -0.49, -0.11, -27.00, 0.60, -94.35
39964, 18.16, 989.87, 196.53, 89.94, -11.50, 178.75, -1.79, -1.58, -8.25, -1.79, -1.58, -8.25, -1.79, -1.58, -8.25, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.29, 2.05, 0.10, -8.20, 0.03, -0.31, -0.16, -26.25, -1.35, -95.85
40010, 18.16, 989.86, 196.60, 89.94, -10.56, 178.69, -2.38, -1.50, -7.81, -2.38, -1.50, -7.81, -2.38, -1.50, -7.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.33, 1.08, 0.15, -8.94, 0.09, -0.13, 0.03, -26.25, -1.35, -95.85
40063, 18.16, 989.86, 196.58, 90.56, -10.13, 178.87, -1.80, -1.48, -8.99, -2.18, -1.47, -8.79, -2.18, -1.47, -8.79, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.29, 2.62, 0.07, -8.76, 0.09, -0.15, 0.11, -25.35, -1.20, -94.65
40109, 18.16, 989.86, 196.62, 91.31, -9.69, 179.12, -1.74, -1.70, -8.68, -1.74, -1.70, -8.68, -1.74, -1.70, -8.68, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.29, 0.87, 0.02, -9.33, -0.12, 0.13, 0.21, -25.35, -1.20, -94.65
40155, 18.16, 989.85, 196.63, 92.31, -9.94, 179.00, -0.74, -1.35, -9.50, -0.74, -1.35, -9.50, -0.74, -1.35, -9.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.29, 1.21, 0.08, -9.56, -0.28, -0.03, 0.24, -26.40, -3.15, -95.70
40202, 18.16, 989.86, 196.61, 93.56, -9.88, 178.31, -1.90, -1.77, -9.12, -1.90, -1.77, -9.12, -1.90, -1.77, -9.12, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.29, 1.49, 0.20, -9.35, -0.32, 0.22, 0.28, -26.40, -3.15, -95.70
40245, 18.15, 989.86, 196.58, 94.69, -10.38, 177.69, -0.26, -1.73, -10.20, -0.26, -1.73, -10.20, -0.26, -1.73, -10.20, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.24, -0.17, 0.30, -10.35, -0.23, -0.09, 0.30, -26.25, -1.35, -97.20
40295, 18.15, 989.86, 196.57, 96.12, -10.38, 177.12, -0.11, -1.73, -9.77, -0.11, -1.73, -9.77, -0.11, -1.73, -9.77, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.09, 0.45, 0.22, -9.65, -0.18, 0.00, 0.29, -26.25, -1.35, -97.20
40338, 18.15, 989.86, 196.56, 97.44, -10.31, 176.69, -0.78, -1.76, -9.36, -0.78, -1.76, -9.36, -0.78, -1.76, -9.36, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.29, 0.45, 0.42, -9.67, -0.17, 0.12, 0.25, -27.75, -1.80, -95.55
40385, 18.15, 989.86, 196.56, 98.06, -10.63, 176.37, -0.54, -1.81, -9.65, -0.54, -1.81, -9.65, -0.54, -1.81, -9.65, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.14, 0.34, 0.37, -9.90, -0.31, 0.03, 0.25, -27.75, -1.80, -95.55
40428, 18.14, 989.86, 196.55, 99.37, -10.50, 175.44, 0.15, -1.48, -10.19, 0.15, -1.48, -10.19, 0.15, -1.48, -10.19, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.14, -0.29, 0.07, -10.24, -0.18, -0.07, 0.20, -27.75, -1.80, -95.55
40478, 18.14, 989.87, 196.53, 100.44, -10.38, 175.00, -0.65, -1.21, -10.62, -0.65, -1.21, -10.62, -0.65, -1.21, -10.62, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.43, 1.13, -0.41, -10.51, 0.04, 0.11, 0.02, -28.05, -0.30, -96.15
40524, 18.14, 989.87, 196.50, 101.00, -10.56, 175.06, -0.53, -0.66, -10.28, -0.53, -0.66, -10.28, 0.00, -0.76, -10.52, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.29, -0.39, -0.62, -10.66, 0.03, -0.13, -0.07, -28.05, -0.30, -96.15
40570, 18.14, 989.87, 196.50, 101.50, -10.38, 175.06, -0.06, -0.90, -10.23, -0.06, -0.90, -10.23, -0.06, -0.90, -10.23, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.00, 0.19, -0.49, -9.97, 0.17, -0.02, -0.08, -27.90, -1.65, -95.70
40616, 18.13, 989.87, 196.53, 101.62, -10.25, 175.44, -0.46, -0.54, -9.58, -0.46, -0.54, -9.58, -0.46, -0.54, -9.58, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.00, -0.11, -1.25, -9.64, 0.33, 0.22, -0.09, -27.90, -1.65, -95.70
40662, 18.13, 989.87, 196.48, 101.75, -10.63, 176.25, 0.58, 0.04, -9.59, 0.58, 0.04, -9.59, 0.58, 0.04, -9.59, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.09, -0.75, -1.60, -9.63, 0.36, -0.20, -0.18, -30.60, -2.10, -96.15
40716, 18.13, 989.87, 196.52, 101.69, -10.06, 177.19, 0.61, -0.35, -9.02, 0.61, -0.35, -9.02, 0.36, -0.62, -8.82, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.29, -0.21, -0.70, -9.03, 0.24, -0.24, -0.31, -30.60, -2.10, -96.15
40761, 18.13, 989.86, 196.56, 101.37, -9.25, 177.56, 0.30, -0.79, -8.53, 0.30, -0.79, -8.53, 0.30, -0.79, -8.53, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.09, -0.34, -0.69, -8.99, -0.07, -0.44, -0.31, -27.90, -3.90, -97.05
40807, 18.12, 989.85, 196.63, 101.31, -8.31, 177.25, -0.10, -0.99, -8.97, -0.10, -0.99, -8.97, -0.10, -0.99, -8.97, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.24, -0.01, -0.29, -9.36, -0.19, -0.42, -0.34, -27.90, -3.90, -97.05
40853, 18.12, 989.86, 196.57, 101.12, -7.06, 176.62, -0.49, -1.54, -9.42, -0.49, -1.54, -9.42, -0.49, -1.54, -9.42, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.14, 0.65, 0.31, -9.39, -0.09, -0.32, -0.30, -26.70, -4.05, -97.20
40896, 18.12, 989.86, 196.55, 101.06, -6.25, 176.31, -0.43, -1.83, -9.39, 0.28, -1.77, -9.31, 0.28, -1.77, -9.31, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.29, -0.66, 0.44, -8.88, 0.08, -0.49, -0.18, -26.70, -4.05, -97.20
40947, 18.12, 989.87, 196.47, 101.06, -4.87, 176.44, 0.24, -1.86, -7.80, 0.24, -1.82, -7.54, 0.24, -1.82, -7.54, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.33, -0.26, 0.30, -7.49, 0.20, -0.25, -0.25, -24.45, -3.30, -97.20
40990, 18.12, 989.87, 196.51, 101.00, -4.31, 176.94, 0.03, -1.76, -6.68, 0.03, -1.76, -6.68, 0.03, -1.76, -6.68, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.00, -0.47, -0.04, -7.55, 0.03, -0.05, -0.29, -24.45, -3.30, -97.20
