time [ms], BMP temp [degC], BMP pres [], BMP alt [], BNO x [deg], BNO y [deg], BNO z [deg], GPS lat [deg.min], GPS lon [deg.min], GPS speed [m/s], GPS angle [deg], GPS alt [m], ICM temp [degC], ICM accel x [m/s^2], ICM accel y [m/s^2], ICM accel z [m/s^2], ICM gyro x [rad/s], ICM gyro y [rad/s], ICM gyro z [rad/s], ICM mag x [], ICM mag y [], ICM mag z []
145157, 24.62, 996.17, 143.20, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.51, 4.94, -0.08, -8.69, -0.01, -0.01, 0.00, -26.70, 31.95, -62.55
145198, 24.62, 996.17, 143.20, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.56, 4.89, -0.09, -8.72, -0.00, 0.00, 0.01, -27.00, 31.65, -64.65
145240, 24.62, 996.17, 143.19, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.46, 4.88, -0.04, -8.71, -0.01, -0.00, 0.01, -27.00, 31.65, -64.65
145279, 24.62, 996.17, 143.18, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.37, 4.87, -0.05, -8.73, -0.01, 0.00, 0.00, -27.00, 31.65, -64.65
145320, 24.62, 996.18, 143.14, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.70, 4.88, -0.03, -8.72, -0.00, 0.01, 0.00, -26.70, 31.20, -61.80
145360, 24.62, 996.17, 143.18, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.51, 4.85, -0.09, -8.73, -0.00, -0.00, 0.00, -26.70, 31.20, -61.80
145406, 24.62, 996.17, 143.18, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.56, 4.86, -0.11, -8.69, -0.00, -0.00, 0.01, -28.05, 33.15, -64.05
145447, 24.62, 996.18, 143.13, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.51, 4.87, -0.07, -8.74, -0.01, 0.00, 0.00, -28.05, 33.15, -64.05
145485, 24.62, 996.17, 143.18, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.46, 4.83, -0.03, -8.76, -0.01, 0.00, 0.01, -28.05, 33.15, -64.05
145525, 24.62, 996.17, 143.19, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.56, 4.88, -0.03, -8.72, -0.00, 0.00, 0.00, -26.70, 33.15, -63.30
145565, 24.62, 996.18, 143.14, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.56, 4.84, -0.05, -8.73, -0.00, -0.00, 0.00, -26.70, 33.15, -63.30
145603, 24.62, 996.18, 143.10, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.56, 4.87, -0.07, -8.72, -0.00, -0.00, 0.00, -27.15, 32.10, -63.75
145649, 24.62, 996.17, 143.17, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.37, 4.85, -0.10, -8.71, -0.01, -0.00, 0.00, -27.15, 32.10, -63.75
145689, 24.62, 996.17, 143.17, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.56, 4.85, -0.04, -8.77, -0.01, 0.00, 0.01, -27.15, 32.10, -63.75
145727, 24.62, 996.18, 143.14, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.46, 4.87, -0.05, -8.71, -0.01, -0.00, 0.01, -26.85, 31.05, -63.45
145769, 24.62, 996.17, 143.15, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.37, 4.89, -0.04, -8.75, -0.01, 0.00, 0.00, -26.85, 31.05, -63.45
145810, 24.62, 996.18, 143.12, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.51, 4.84, -0.10, -8.71, -0.01, -0.00, 0.01, -26.40, 34.05, -64.20
145849, 24.62, 996.17, 143.14, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.65, 4.88, -0.05, -8.79, 0.00, -0.00, 0.01, -26.40, 34.05, -64.20
145890, 24.62, 996.17, 143.16, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.56, 4.86, -0.06, -8.71, -0.01, 0.00, 0.00, -26.40, 34.05, -64.20
145935, 24.62, 996.18, 143.10, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.32, 4.87, -0.03, -8.78, -0.00, -0.00, 0.00, -28.05, 31.20, -63.60
145973, 24.62, 996.18, 143.11, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.18, 4.87, -0.07, -8.73, -0.01, 0.00, 0.00, -28.05, 31.20, -63.60
146012, 24.62, 996.19, 143.01, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.51, 4.87, -0.08, -8.71, -0.01, -0.00, 0.01, -26.40, 31.80, -63.75
146053, 24.62, 996.19, 142.99, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.32, 4.87, -0.10, -8.74, -0.00, -0.00, 0.01, -26.40, 31.80, -63.75
146092, 24.62, 996.18, 143.09, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.56, 4.91, -0.04, -8.74, -0.01, 0.00, 0.01, -26.40, 31.80, -63.75
146133, 24.62, 996.18, 143.13, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.56, 4.92, -0.10, -8.78, 0.00, -0.00, 0.01, -26.40, 31.80, -63.75
146178, 24.62, 996.17, 143.16, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.32, 4.85, -0.07, -8.77, -0.00, -0.00, 0.01, -26.40, 31.80, -63.75
146215, 24.62, 996.17, 143.20, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.51, 4.81, -0.06, -8.75, -0.00, 0.00, 0.00, -26.40, 31.80, -63.75
146254, 24.62, 996.18, 143.13, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.56, 4.88, -0.06, -8.71, -0.00, 0.00, 0.01, -26.40, 31.80, -63.75
146295, 24.62, 996.17, 143.16, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.37, 4.87, -0.08, -8.72, -0.00, -0.00, 0.01, -26.40, 31.80, -63.75
146336, 24.62, 996.17, 143.19, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.65, 4.86, -0.09, -8.77, 0.00, 0.00, 0.00, -26.40, 31.80, -63.75
146376, 24.62, 996.17, 143.20, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.56, 4.86, -0.05, -8.71, -0.00, -0.01, 0.01, -26.40, 31.80, -63.75
146422, 24.62, 996.17, 143.20, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.56, 4.86, -0.11, -8.76, -0.01, 0.00, 0.01, -26.40, 31.35, -63.45
146462, 24.62, 996.17, 143.18, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.65, 4.89, -0.06, -8.77, -0.01, -0.00, 0.01, -26.40, 31.35, -63.45
146502, 24.62, 996.17, 143.15, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.51, 4.92, -0.10, -8.75, -0.00, -0.00, 0.01, -26.25, 33.15, -63.60
146541, 24.62, 996.17, 143.17, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.32, 4.87, -0.11, -8.75, -0.01, -0.00, 0.00, -26.25, 33.15, -63.60
146583, 24.62, 996.17, 143.17, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.80, 4.87, -0.08, -8.76, -0.01, -0.00, 0.00, -26.25, 33.15, -63.60
146623, 24.62, 996.17, 143.19, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.46, 4.85, -0.10, -8.73, -0.00, 0.00, 0.00, -25.95, 30.90, -64.35
146663, 24.62, 996.17, 143.22, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.46, 4.86, -0.07, -8.75, 0.00, 0.00, 0.00, -25.95, 30.90, -64.35
146708, 24.62, 996.17, 143.22, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.80, 4.85, -0.13, -8.71, -0.00, 0.00, 0.01, -26.25, 31.20, -62.55
146743, 24.62, 996.15, 143.32, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.80, 4.85, -0.13, -8.71, -0.00, 0.00, 0.01, -26.25, 31.20, -62.55
146781, 24.62, 996.16, 143.28, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.51, 4.87, -0.10, -8.68, -0.00, 0.00, 0.01, -26.25, 31.20, -62.55
146823, 24.62, 996.16, 143.26, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.37, 4.85, -0.07, -8.74, -0.00, 0.00, 0.00, -26.25, 33.15, -63.30
146864, 24.62, 996.16, 143.23, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.56, 4.87, -0.06, -8.72, -0.00, -0.00, 0.01, -26.25, 33.15, -63.30
146903, 24.62, 996.16, 143.24, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.56, 4.87, -0.08, -8.71, -0.01, 0.00, 0.01, -27.15, 31.80, -63.75
146948, 24.62, 996.17, 143.21, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.56, 4.83, -0.06, -8.77, -0.00, -0.00, 0.00, -27.15, 31.80, -63.75
146987, 24.62, 996.17, 143.20, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.51, 4.88, -0.08, -8.71, 0.01, 0.00, 0.01, -27.15, 31.80, -63.75
147026, 24.62, 996.17, 143.17, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.65, 4.89, -0.06, -8.75, -0.00, -0.00, 0.01, -27.90, 31.05, -64.20
147066, 24.62, 996.17, 143.17, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.51, 4.86, -0.04, -8.71, 0.00, -0.00, 0.00, -27.90, 31.05, -64.20
147107, 24.62, 996.17, 143.17, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.56, 4.91, -0.10, -8.71, -0.01, 0.00, 0.00, -27.00, 32.70, -63.60
147146, 24.62, 996.17, 143.15, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.65, 4.81, -0.02, -8.77, -0.00, -0.00, 0.01, -27.00, 32.70, -63.60
147186, 24.62, 996.17, 143.20, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.13, 4.90, -0.08, -8.74, 0.00, -0.00, -0.00, -27.00, 32.70, -63.60
147230, 24.62, 996.16, 143.24, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.51, 4.89, -0.04, -8.75, -0.00, 0.00, 0.00, -27.00, 31.20, -63.30
147268, 24.62, 996.17, 143.20, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.51, 4.86, -0.10, -8.79, -0.01, -0.00, 0.01, -27.00, 31.20, -63.30
147307, 24.62, 996.17, 143.20, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.51, 4.83, -0.06, -8.68, 0.00, -0.00, 0.01, -27.00, 31.20, -63.30
147349, 24.62, 996.16, 143.23, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.37, 4.85, -0.06, -8.74, -0.01, -0.00, 0.00, -27.00, 31.20, -63.30
147387, 24.62, 996.16, 143.23, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.46, 4.90, -0.05, -8.74, -0.01, -0.00, 0.01, -27.00, 31.20, -63.30
147427, 24.62, 996.16, 143.25, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.32, 4.88, -0.09, -8.75, -0.01, -0.00, 0.00, -27.00, 31.20, -63.30
147474, 24.62, 996.17, 143.21, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.46, 4.87, -0.01, -8.79, -0.00, 0.00, 0.01, -27.00, 31.20, -63.30
147514, 24.62, 996.16, 143.27, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.18, 4.85, -0.05, -8.71, -0.00, 0.00, 0.01, -27.00, 31.20, -63.30
147554, 24.62, 996.16, 143.24, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.46, 4.90, -0.08, -8.70, -0.00, -0.00, 0.00, -27.00, 31.20, -63.30
147592, 24.62, 996.16, 143.27, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.32, 4.87, -0.13, -8.77, -0.00, 0.00, 0.01, -27.00, 31.20, -63.30
147633, 24.62, 996.16, 143.29, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.56, 4.89, -0.10, -8.77, 0.00, 0.00, 0.00, -27.30, 31.95, -63.60
147676, 24.62, 996.15, 143.32, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.51, 4.87, -0.06, -8.77, -0.00, -0.01, 0.01, -27.30, 31.95, -63.60
147715, 24.62, 996.16, 143.30, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.46, 4.88, -0.05, -8.73, -0.00, -0.00, 0.00, -27.60, 31.80, -63.45
147764, 24.62, 996.16, 143.31, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.46, 4.91, 0.00, -8.77, -0.01, 0.00, 0.01, -27.60, 31.80, -63.45
147802, 24.62, 996.16, 143.31, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.46, 4.84, -0.03, -8.71, 0.00, -0.01, 0.00, -26.85, 32.10, -64.50
147839, 24.62, 996.16, 143.28, 326.50, -31.19, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.56, 4.78, -0.04, -8.83, -0.00, 0.01, 0.01, -26.85, 32.10, -64.50
147880, 24.62, 996.17, 143.19, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.51, 4.89, -0.05, -8.82, -0.00, -0.00, 0.01, -26.85, 32.10, -64.50
147919, 24.62, 996.18, 143.13, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.56, 4.89, -0.01, -8.61, -0.00, 0.01, 0.01, -28.05, 31.95, -63.60
147958, 24.62, 996.17, 143.21, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.51, 4.88, -0.03, -8.72, -0.01, 0.01, 0.00, -28.05, 31.95, -63.60
148004, 24.62, 996.17, 143.18, 326.50, -31.19, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.37, 4.87, -0.03, -8.73, -0.00, 0.01, 0.01, -27.75, 31.20, -66.15
148042, 24.62, 996.17, 143.22, 326.50, -31.19, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.37, 4.90, -0.06, -8.75, -0.00, 0.00, 0.00, -27.75, 31.20, -66.15
148080, 24.62, 996.17, 143.22, 326.50, -31.19, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.13, 4.77, -0.11, -8.77, -0.00, 0.01, 0.01, -27.75, 31.20, -66.15
148119, 24.62, 996.17, 143.19, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.37, 4.92, -0.05, -8.75, -0.00, -0.01, 0.00, -27.30, 32.40, -64.35
148160, 24.62, 996.17, 143.17, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.46, 4.89, -0.10, -8.68, -0.01, 0.00, 0.00, -27.30, 32.40, -64.35
148199, 24.62, 996.16, 143.23, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.46, 4.90, -0.04, -8.78, -0.00, -0.00, 0.00, -27.30, 32.40, -64.35
148240, 24.62, 996.16, 143.28, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.51, 4.82, -0.09, -8.74, 0.00, -0.01, 0.00, -25.80, 31.80, -63.75
148285, 24.62, 996.16, 143.26, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.32, 4.87, -0.08, -8.75, 0.00, 0.00, 0.00, -25.80, 31.80, -63.75
148322, 24.62, 996.16, 143.29, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.51, 4.83, -0.05, -8.68, -0.00, 0.00, 0.01, -27.00, 32.70, -63.30
148361, 24.62, 996.16, 143.25, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.37, 4.83, -0.03, -8.68, -0.01, -0.01, 0.01, -27.00, 32.70, -63.30
148402, 24.62, 996.16, 143.25, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.51, 4.87, -0.08, -8.74, -0.00, 0.00, 0.00, -27.00, 32.70, -63.30
148440, 24.62, 996.16, 143.23, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.56, 4.84, -0.04, -8.74, -0.01, 0.00, 0.01, -27.75, 30.90, -65.10
148481, 24.62, 996.17, 143.18, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.65, 4.88, -0.07, -8.71, 0.00, 0.00, 0.00, -27.75, 30.90, -65.10
148527, 24.62, 996.17, 143.18, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.65, 4.91, -0.02, -8.69, -0.00, -0.01, 0.01, -27.75, 30.90, -65.10
148566, 24.62, 996.18, 143.14, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.37, 4.88, -0.07, -8.74, -0.00, 0.00, 0.00, -27.75, 30.90, -65.10
148605, 24.62, 996.18, 143.09, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.51, 4.83, -0.06, -8.69, 0.00, -0.00, 0.01, -27.75, 30.90, -65.10
148647, 24.62, 996.18, 143.12, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.51, 4.87, -0.09, -8.76, -0.00, 0.01, 0.01, -27.75, 30.90, -65.10
148685, 24.62, 996.18, 143.14, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.51, 4.86, -0.05, -8.72, -0.00, 0.00, 0.00, -27.75, 30.90, -65.10
148724, 24.62, 996.17, 143.17, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.13, 4.88, -0.01, -8.66, 0.00, -0.00, 0.01, -26.70, 31.65, -64.05
148762, 24.62, 996.17, 143.16, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.51, 4.84, -0.07, -8.76, -0.00, -0.00, 0.01, -26.70, 31.65, -64.05
148809, 24.62, 996.17, 143.22, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.51, 4.90, -0.06, -8.82, -0.00, -0.01, 0.01, -27.00, 32.40, -63.30
148849, 24.62, 996.16, 143.24, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.65, 4.90, -0.06, -8.67, 0.00, -0.00, 0.01, -27.00, 32.40, -63.30
148887, 24.62, 996.16, 143.24, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.46, 4.87, -0.11, -8.68, -0.01, -0.01, 0.01, -27.00, 32.40, -63.30
148929, 24.62, 996.16, 143.29, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.46, 4.86, -0.04, -8.70, 0.00, -0.00, 0.01, -26.40, 33.30, -62.70
148969, 24.62, 996.17, 143.22, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.32, 4.89, -0.05, -8.75, -0.00, 0.00, 0.00, -26.40, 33.30, -62.70
149011, 24.62, 996.17, 143.20, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.65, 4.88, -0.08, -8.67, -0.01, -0.00, 0.00, -27.60, 30.60, -63.75
149057, 24.62, 996.17, 143.19, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.56, 4.89, -0.04, -8.69, -0.00, 0.00, 0.01, -27.60, 30.60, -63.75
149096, 24.62, 996.16, 143.24, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.56, 4.87, -0.04, -8.73, -0.01, -0.00, 0.00, -27.60, 30.60, -63.75
149134, 24.62, 996.17, 143.22, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.56, 4.89, -0.06, -8.75, -0.00, -0.01, 0.00, -26.70, 31.65, -63.30
149174, 24.62, 996.16, 143.23, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.46, 4.83, -0.13, -8.75, 0.00, -0.01, 0.01, -26.70, 31.65, -63.30
149213, 24.62, 996.19, 143.00, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.51, 4.69, 0.12, -8.98, 0.01, 0.00, 0.00, -26.10, 32.55, -63.75
149251, 24.62, 996.19, 143.05, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.51, 4.86, 0.01, -8.95, 0.00, -0.00, 0.00, -26.10, 32.55, -63.75
149292, 24.62, 996.18, 143.08, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.51, 4.79, 0.03, -8.88, -0.01, -0.01, 0.01, -26.10, 32.55, -63.75
149337, 24.62, 996.18, 143.09, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.65, 4.92, -0.11, -8.72, -0.00, -0.01, 0.00, -27.00, 31.65, -63.60
149374, 24.62, 996.18, 143.06, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.46, 4.88, -0.14, -8.71, -0.00, -0.00, 0.00, -27.00, 31.65, -63.60
149414, 24.62, 996.18, 143.08, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.56, 4.94, -0.01, -8.72, -0.00, -0.00, 0.00, -27.90, 31.80, -63.15
149455, 24.62, 996.18, 143.12, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.46, 4.92, -0.01, -8.76, -0.00, -0.01, 0.01, -27.90, 31.80, -63.15
149494, 24.62, 996.18, 143.08, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.56, 4.80, -0.12, -8.75, -0.00, 0.00, 0.00, -27.90, 31.80, -63.15
149534, 24.62, 996.18, 143.08, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.56, 4.83, -0.14, -8.77, -0.00, 0.00, 0.01, -26.85, 32.10, -63.45
149581, 24.62, 996.17, 143.14, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.56, 4.94, -0.06, -8.65, -0.01, -0.00, 0.01, -26.85, 32.10, -63.45
